Fullname,SSN,Phone,Birthdate,Gender,Smoking,Weight,Height,Disease,Address
Alejandra Bernal Mármol,078-41-0139,+34714 412 639,1930-04-17,Female,TRUE,102,169,Cancer,Via Cornelio Fortuny 42 Toledo 56747
Alexandre Schmitt de la Bonnet,464-47-7564,06 99 73 89 88,1938-06-27,Male,FALSE,109,183,Heart,4 chemin Aubry 95858 Masse-sur-Moulin
Allan Williams,ZZ 417571 T,1184960773,1990-06-14,Female,FALSE,97,150,Tuberculosis,Flat 67s White shoals West Russellshire N6 5AY
Antonietta Valentino,CKQCVH82O46J388E,+39 9311 9376675,1967-06-13,Female,TRUE,58,159,Heart,Canale Zacco 3 Patrizia umbro 24520 Palermo (RA)
Benjamim Castro,015-32-7821,351933319016,1930-06-18,Male,TRUE,73,153,Sclerosis,Largo dos Jacarandás 58 1132-230 Seixal
Bernadette-Adrienne Clerc,957-36-6247,+33 (0)8 03 44 57 25,1935-12-06,Female,TRUE,53,145,Cancer,222 rue Perez 28916 Moulin
Constanza Benavides Mata,423-28-2294,+34 679 827 250,1960-12-12,Female,TRUE,94,161,Covid-19,Paseo de Fausto Calvet 79 Puerta 8 Cuenca 74163
Danielle Brookes,ZZ 70 65 57 T,441175000000,1945-11-21,Male,FALSE,93,171,Creutzfeldt-Jakob,71 Brown plaza Deanfort S0J 6GY
David Batista,192-35-9805,351287539562,1961-05-22,Male,FALSE,98,172,Covid-19,Praça Mahatma Gandhi 459 1496-929 Odivelas
Débora da Monteiro,727-25-7550,932027422,1980-08-29,Female,FALSE,96,151,Tuberculosis,Rua Vera Gaspar 31 9288-660 Alverca do Ribatejo
Denise Stone,ZZ 991302 T,0306 999 0870,1947-02-08,Male,FALSE,112,161,Covid-19,750 Francis trace New Laurenstad B23 8ZG
Dott. Etta Sraffa,TMNZHZ56M54D730G,+39 4889 3030212,1951-08-08,Female,FALSE,94,163,Cancer,Strada Cipriano 15 Sesto Girolamo 04510 Foggia (SA)
Dott. Piero Spinola,CWDOYQ42F37T127O,+39 551 8023404,1953-08-30,Male,TRUE,106,156,Heart,Contrada Piergiorgio 200 Piano 6 Alina nell'emilia 55146 Teramo (LE)
Dr. Caroline Dean,ZZ 378183 T,(020)74960853,1964-11-26,Female,FALSE,109,153,Cancer,0 Stanley rue West Rachaelside EC6 4QE
Elisa Smirnoff,ZTUVMG01X72D565V,+39 531 4268412,1946-04-17,Female,FALSE,107,150,Covid-19,Strada Treves 052 Piano 0 San Leopoldo 56050 Bologna (BA)
Gaspar Jordán Company,308-99-7935,+34 742496001,1967-11-01,Male,FALSE,67,178,HIV,Paseo Gabino Ribas 72 Navarra 9107
Giustino Letta,JWIDBM44A63C490V,+39 418 5573908,1966-12-18,Male,FALSE,87,180,Covid-19,Vicolo Vercelloni 470 Piano 2 Settimo Ilaria 52223 Firenze (VR)
Guglielmo Barcaccia,VHCKNY91B95D696G,+39 73 0233097,1937-04-09,Male,FALSE,114,180,Parkinson,Vicolo Galtarossa 8 Appartamento 52 Sesto Annunziata 63786 Fermo (TP)
Guy Dubois,313-52-2638,06 15 44 88 29,1968-02-01,Male,TRUE,78,176,Covid-19,43 boulevard de Guilbert 84136 Saint Paul
Isaac Maillet,409-51-1295,+33 (0)4 84 73 31 72,1958-01-12,Male,TRUE,96,171,Scleroderma,chemin de Ramos 84458 Gregoire
Jane Bennett,ZZ528089T,441174960227,1966-08-28,Male,FALSE,101,183,Relapsing Polychondritis,50 Scott ports North Anthony M6 2ND
Joséphine Dupont,583-55-9805,+33 4 43 79 96 50,1950-12-10,Female,TRUE,54,167,Covid-19,43 avenue Caron 15658 Sainte Aimée
Judith Conway,ZZ 30 03 48 T,1632960565,1936-10-15,Female,FALSE,67,166,Creutzfeldt-Jakob,073 Stewart springs McCarthyhaven HA9M 6UR
Karen Forster,ZZ 35 24 82 T,(0808) 157 0213,1978-05-09,Male,FALSE,74,178,Rheumatoid Arthritis,6 Michelle corners Cooperstad NG2N 8EJ
Laurent Grondin,449-27-1808,622823193,1959-11-20,Male,FALSE,78,166,Crohn's & Colitis,avenue Chartier 26649 Fabre
Loreto Echeverría León,431-26-0305,+34 865 102 365,1948-09-26,Female,FALSE,50,152,Covid-19,Avenida de Jovita Arnal 8 Piso 5 Guipúzcoa 980
Marguerite Lebrun,362-15-3899,05 21 11 57 83,1933-09-29,Female,TRUE,77,160,Parkinson,60 rue Legendre 70058 Brunet
Mariana Martins,302-06-7765,911 398 362,1986-01-25,Female,FALSE,61,167,Tuberculosis,Avenida Costa 26 3382-190 São Mamede de Infesta
Mauricio Aguirre-Galindo,766-44-9748,+34 985 63 71 20,1971-06-13,Male,TRUE,98,175,Lupus,C. de Alejo Bolaños 20 Piso 3 Jaén 60034
Miriam Azevedo,990-10-6683,(351) 939286693,1990-01-17,Female,TRUE,55,159,HIV,Alameda Domingues 59 8735-044 Miranda do Douro
Philippine du Charrier,929-10-2759,+33 2 30 86 73 78,1981-01-03,Female,TRUE,92,155,Sclerosis,46 avenue de Hoareau 99291 Saint Honoré
Severo Giménez Hernandez,161-16-6532,+34 903 205 593,1944-08-02,Male,FALSE,112,174,Covid-19,Pasaje de Cándido Quiroga 2 Piso 3 Las Palmas 20909
Stephanie White,ZZ 86 91 84 T,+44(0)151 496 0075,1966-03-29,Female,FALSE,56,166,Scleroderma,58 Pearson camp Hardingbury KA8 9BB
